host_original	host_final	host_group	records	normalization_rule	changed
Bos taurus breed Alatau	Bos taurus breed Alatau		1	UNCHANGED	NO
Bos taurus breed Holstein	Bos taurus breed Holstein		1	UNCHANGED	NO
Bos taurus breed Holstein freisian crossbred	Bos taurus breed Holstein freisian crossbred		1	UNCHANGED	NO
Bos taurus breed Jersey crossbreed	Bos taurus breed Jersey crossbreed		1	UNCHANGED	NO
Bos taurus; age: 6 years old; breed: holstein	Bos taurus		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Bos taurus; breed: Holstein	Bos taurus		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Bos taurus; breed: holstein	Bos taurus		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Bos taurus; calf	Bos taurus		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Breeder chicken	Breeder chicken		1	UNCHANGED	NO
British Shorthair Cat	British Shorthair Cat		1	UNCHANGED	NO
Bubalus bubalis (Nothern territory buffalo)	Bubalus bubalis (Nothern territory buffalo)		1	UNCHANGED	NO
Bubalus bubalis (buffalo)	Bubalus bubalis (buffalo)		1	UNCHANGED	NO
Bubalus bubalis (water buffalo)	Bubalus bubalis (water buffalo)		1	UNCHANGED	NO
Bubalus bubalis Ind-295923	Bubalus bubalis Ind-295923		1	UNCHANGED	NO
Bubalus bubalis Ind-295955	Bubalus bubalis Ind-295955		1	UNCHANGED	NO
Bubo bubo (eagle-owl)	Bubo bubo (eagle-owl)		1	UNCHANGED	NO
Burkitt lymphoma cell line Jijoye	Burkitt lymphoma cell line Jijoye		1	UNCHANGED	NO
Burkitt lymphoma cell line Raji	Burkitt lymphoma cell line Raji		1	UNCHANGED	NO
Burmese thamin	Burmese thamin		1	UNCHANGED	NO
Buteo buteo (common buzzard)	Buteo buteo (common buzzard)		1	UNCHANGED	NO
Cacatua galerita	Cacatua galerita		1	UNCHANGED	NO
Cairina moschata (Muscovy duck)	Cairina moschata (Muscovy duck)		1	UNCHANGED	NO
Calf	Calf		1	UNCHANGED	NO
Callicebus	Callicebus		1	UNCHANGED	NO
Callithrix geoffroyi (white-headed marmoset)	Callithrix geoffroyi (white-headed marmoset)		1	UNCHANGED	NO
Callithrix jacchus	Callithrix jacchus		1	UNCHANGED	NO
Callithrix penicillata (black-tufted marmoset)	Callithrix penicillata (black-tufted marmoset)		1	UNCHANGED	NO
Callosciurus prevostii	Callosciurus prevostii		1	UNCHANGED	NO
Calonectris borealis (Cory's Shearwater)	Calonectris borealis (Cory's Shearwater)		1	UNCHANGED	NO
Calonectris borealis (Cory's Shearwater); juvenile male	Calonectris borealis (Cory's Shearwater)		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Calonectris edwardsii (Cape Verde Shearwater)	Calonectris edwardsii (Cape Verde Shearwater)		1	UNCHANGED	NO
Canin	Canin		1	UNCHANGED	NO
Canis lupus familiaris (English bulldog)	Canis lupus familiaris (English bulldog)		1	UNCHANGED	NO
Canis lupus familiaris (Golden retriever)	Canis lupus familiaris (Golden retriever)		1	UNCHANGED	NO
Canis lupus familiaris (Labrador Retriever)	Canis lupus familiaris (Labrador Retriever)		1	UNCHANGED	NO
Canis lupus familiaris (dog)	Canis lupus familiaris (dog)		1	UNCHANGED	NO
Cape blue duiker, Persian goitered gazelle	Cape blue duiker, Persian goitered gazelle		1	UNCHANGED	NO
Cape blue duiker, Red-flanked duiker	Cape blue duiker, Red-flanked duiker		1	UNCHANGED	NO
Cavendish's dik dik	Cavendish's dik dik		1	UNCHANGED	NO
Cercocebus agilis	Cercocebus agilis		1	UNCHANGED	NO
Cercocebus atys	Cercocebus atys		1	UNCHANGED	NO
Cercopithecus hamlyni	Cercopithecus hamlyni		1	UNCHANGED	NO
Cercopithecus nictitans	Cercopithecus nictitans		1	UNCHANGED	NO
Certhidea olivacea	Certhidea olivacea		1	UNCHANGED	NO
Cervus canadensis (elk)	Cervus canadensis (elk)		1	UNCHANGED	NO
Cervus nippon taiouanus	Cervus nippon taiouanus		1	UNCHANGED	NO
Chelonia mydas (green sea turtles)	Chelonia mydas (green sea turtles)		1	UNCHANGED	NO
Chersina angulata	Chersina angulata		1	UNCHANGED	NO
Chicken; COBB 430Y	Chicken		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Chironectes minimus (water opossum)	Chironectes minimus (water opossum)		1	UNCHANGED	NO
Choloepus didactylus (two-toed sloth); sex: male	Choloepus didactylus (two-toed sloth)		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Colobus badius	Colobus badius		1	UNCHANGED	NO
Colobus polykomos	Colobus polykomos		1	UNCHANGED	NO
Columba livia (rock dove)	Columba livia (rock dove)		1	UNCHANGED	NO
Columba sp.	Columba sp.		1	UNCHANGED	NO
Corvus cornix	Corvus cornix		1	UNCHANGED	NO
Crocidura russula	Crocidura russula		1	UNCHANGED	NO
Cygnus atratus; ACDP:9103-25-1145	Cygnus atratus		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Cystophora cristata	Cystophora cristata		1	UNCHANGED	NO
Delphinapterus leucas (Beluga whale); dev_stage: adult; sex: female	Delphinapterus leucas (Beluga whale)		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Delphinapterus leucas (Beluga whale); dev_stage: juvenile; sex: female	Delphinapterus leucas (Beluga whale)		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Delphinapterus leucas (beluga whale); 29 yo	Delphinapterus leucas (beluga whale)		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Delphinapterus leucas (beluga whale); adult; male; 10 yo	Delphinapterus leucas (beluga whale)		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Delphinapterus leucas (beluga whale); adult; male; 15-20 yo	Delphinapterus leucas (beluga whale)		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Delphinapterus leucas (beluga whale); juvenile	Delphinapterus leucas (beluga whale)		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Delphinapterus leucas BB-12-04	Delphinapterus leucas BB-12-04		1	UNCHANGED	NO
Delphinapterus leucas DL-12-01	Delphinapterus leucas DL-12-01		1	UNCHANGED	NO
Delphinapterus leucas DL-BB-12-01	Delphinapterus leucas DL-BB-12-01		1	UNCHANGED	NO
Delphinapterus leucas DL-BB-12-02	Delphinapterus leucas DL-BB-12-02		1	UNCHANGED	NO
Delphinapterus leucas DL-BB-12-08	Delphinapterus leucas DL-BB-12-08		1	UNCHANGED	NO
Delphinapterus leucas; dev_stage: adult; sex: female	Delphinapterus leucas		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Delphinapterus leucas; juvenile	Delphinapterus leucas		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Dermochelys coriacea	Dermochelys coriacea		1	UNCHANGED	NO
Desert bighorn, Arabian oryx	Desert bighorn, Arabian oryx		1	UNCHANGED	NO
Domestic Dog	Domestic dog		1	STANDARDIZE_FIRST_TWO_TERMS_FROM_OBSERVED_PAIR	YES
Domestic cattle, Ellipsen waterbuck, Javan rusa, Scimitar-horned oryx, Indian sambar	Domestic cattle, Ellipsen waterbuck, Javan rusa, Scimitar-horned oryx, Indian sambar		1	UNCHANGED	NO
Eastern giant eland, Southern gerenuk	Eastern giant eland, Southern gerenuk		1	UNCHANGED	NO
Eastern yellow-backed duiker, North Indian muntjac	Eastern yellow-backed duiker, North Indian muntjac		1	UNCHANGED	NO
Eastern yellow-backed duiker, Zambian sable antelope	Eastern yellow-backed duiker, Zambian sable antelope		1	UNCHANGED	NO
Elaphurus davidianus (Pere David's deer)	Elaphurus davidianus (Pere David's deer)		1	UNCHANGED	NO
Elephas maximus (Asian elephant)	Elephas maximus (Asian elephant)		1	UNCHANGED	NO
Elephas maximus (adult male Asian elephant)	Elephas maximus (adult male Asian elephant)		1	UNCHANGED	NO
Elephas maximus borneensis	Elephas maximus borneensis		1	UNCHANGED	NO
Elephas maximus; Adun, a 12-month old calf	Elephas maximus		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Elephas maximus; Elephas maximus	Elephas maximus		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Elephas maximus; Tuntan, a 36-month old calf	Elephas maximus		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Eptesicus diminutus (bat)	Eptesicus diminutus (bat)		1	UNCHANGED	NO
Eptesicus furinalis	Eptesicus furinalis		1	UNCHANGED	NO
Eptesicus fuscus (big brown bat)	Eptesicus fuscus (big brown bat)		1	UNCHANGED	NO
Eptesicus fuscus; female	Eptesicus fuscus		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Eptesicus serotinus	Eptesicus serotinus		1	UNCHANGED	NO
Equine; Arabian horse	Equine		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Equus	Equus		1	UNCHANGED	NO
Equus burchelli	Equus burchelli		1	UNCHANGED	NO
Equus burchellii antiquorum (Damara zebra)	Equus burchellii antiquorum (Damara zebra)		1	UNCHANGED	NO
Equus caballus (Arabian horse)	Equus caballus (Arabian horse)		1	UNCHANGED	NO
Equus caballus (Horse)	Equus caballus (Horse)		1	UNCHANGED	NO
Equus caballus; breed: Arabian, sudden death 8 month foal	Equus caballus		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Equus caballus; breed: Arabian, sudden death 9 month foal	Equus caballus		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Equus caballus; breed: Arabian, sudden death foal	Equus caballus		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Equus hemionus	Equus hemionus		1	UNCHANGED	NO
Equus hemionus onager	Equus hemionus onager		1	UNCHANGED	NO
Equus hemionus onager (Persian onager)	Equus hemionus onager (Persian onager)		1	UNCHANGED	NO
Equus hemionus onager (onager)	Equus hemionus onager (onager)		1	UNCHANGED	NO
Equus kiang holdereri (eastern kiang)	Equus kiang holdereri (eastern kiang)		1	UNCHANGED	NO
Eretmochelys imbricata	Eretmochelys imbricata		1	UNCHANGED	NO
European badger (Meles meles)	European badger (Meles meles)		1	UNCHANGED	NO
Falco tinnunculus	Falco tinnunculus		1	UNCHANGED	NO
Feline	Feline		1	UNCHANGED	NO
Felis catus (domestic cat)	Felis catus (domestic cat)		1	UNCHANGED	NO
Felis catus; Scottish	Felis catus		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Felis catus; Siamese	Felis catus		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Forest kingfisher	Forest kingfisher		1	UNCHANGED	NO
Formosan sambar	Formosan sambar		1	UNCHANGED	NO
Forpus xanthopterygius	Forpus xanthopterygius		1	UNCHANGED	NO
Fregata magnificens	Fregata magnificens		1	UNCHANGED	NO
Gallus Gallus	Gallus gallus		1	STANDARDIZE_FIRST_TWO_TERMS_FROM_OBSERVED_PAIR	YES
Gallus gallus (Broiler Breeder)	Gallus gallus (Broiler Breeder)		1	UNCHANGED	NO
Gallus gallus (Broiler)	Gallus gallus (Broiler)		1	UNCHANGED	NO
Gallus gallus (Layer)	Gallus gallus (Layer)		1	UNCHANGED	NO
Gallus gallus White leghorn	Gallus gallus White leghorn		1	UNCHANGED	NO
Gallus gallus bankiva (Red Junglefowl)	Gallus gallus bankiva (Red Junglefowl)		1	UNCHANGED	NO
Gallus gallus breed Rhode Island Red	Gallus gallus breed Rhode Island Red		1	UNCHANGED	NO
Gallus gallus domecticus	Gallus gallus domecticus		1	UNCHANGED	NO
Gallus gallus domesticus (Indian Giant)	Gallus gallus domesticus (Indian Giant)		1	UNCHANGED	NO
Gallus gallus gallus	Gallus gallus gallus		1	UNCHANGED	NO
Gallus gallus layer chicken	Gallus gallus layer chicken		1	UNCHANGED	NO
Gallus gallus; breed: white leghorn layer	Gallus gallus		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Gavia immer (common loon)	Gavia immer (common loon)		1	UNCHANGED	NO
Gazella thomsonii	Gazella thomsonii		1	UNCHANGED	NO
Gerrhosaurus nigrolineatus (black-lined plated lizard)	Gerrhosaurus nigrolineatus (black-lined plated lizard)		1	UNCHANGED	NO
Globicephala macrorhynchus	Globicephala macrorhynchus		1	UNCHANGED	NO
Goat	Goat		1	UNCHANGED	NO
Gorilla beringei graueri (Grauer's gorilla)	Gorilla beringei graueri (Grauer's gorilla)		1	UNCHANGED	NO
Grammomys sp.	Grammomys sp.		1	UNCHANGED	NO
Grampus griseus (Risso's dolphin)	Grampus griseus (Risso's dolphin)		1	UNCHANGED	NO
Grevy's zebra	Grevy's zebra		1	UNCHANGED	NO
Hawaiian monk seal	Hawaiian monk seal		1	UNCHANGED	NO
Helarctos malayanus	Helarctos malayanus		1	UNCHANGED	NO
Heloderma suspectum	Heloderma suspectum		1	UNCHANGED	NO
Hexaprotodon liberiensis	Hexaprotodon liberiensis		1	UNCHANGED	NO
Hipposideros caffer	Hipposideros caffer		1	UNCHANGED	NO
Hipposideros lankadiva	Hipposideros lankadiva		1	UNCHANGED	NO
Homo sapiens (female)	Homo sapiens (female)		1	UNCHANGED	NO
Homo sapiens suffering from herpes zoster/shingles	Homo sapiens suffering from herpes zoster/shingles		1	UNCHANGED	NO
Homo sapiens; 13 years; male	Homo sapiens		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; 16 years from Chandigarh; male	Homo sapiens		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; 28 years; male	Homo sapiens		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; 29 years; female	Homo sapiens		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; 31 years; male	Homo sapiens		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; 33-month old boy	Homo sapiens		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; 35 years; male	Homo sapiens		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; 37 years from Telangana; male	Homo sapiens		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; Female; 40 years old	Homo sapiens		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; HIV infected carrier	Homo sapiens		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; Hodgkin lymphoma patient	Homo sapiens		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; adult female	Homo sapiens		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; male; 59 year-old	Homo sapiens		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; male; 59 yeasrs	Homo sapiens		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; male; 62 year-old	Homo sapiens		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; pregnant women	Homo sapiens		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; sex: female; age: 8 yo	Homo sapiens		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; specimen_voucher: KFSHRC:S12	Homo sapiens		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; specimen_voucher: KFSHRC:S12:CMV56	Homo sapiens		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; specimen_voucher: KFSHRC:S13	Homo sapiens		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; specimen_voucher: KFSHRC:S13:CMV56	Homo sapiens		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; specimen_voucher: KFSHRC:S14	Homo sapiens		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; specimen_voucher: KFSHRC:S14:CMV56	Homo sapiens		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; specimen_voucher: KFSHRC:S15	Homo sapiens		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; specimen_voucher: KFSHRC:S150	Homo sapiens		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; specimen_voucher: KFSHRC:S17	Homo sapiens		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; specimen_voucher: KFSHRC:S17:CMV56	Homo sapiens		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; specimen_voucher: KFSHRC:S196:CMV56	Homo sapiens		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; specimen_voucher: KFSHRC:S198	Homo sapiens		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; specimen_voucher: KFSHRC:S198:CMV56	Homo sapiens		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; specimen_voucher: KFSHRC:S20	Homo sapiens		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; specimen_voucher: KFSHRC:S20:CMV56	Homo sapiens		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; specimen_voucher: KFSHRC:S24	Homo sapiens		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; specimen_voucher: KFSHRC:S24:CMV56	Homo sapiens		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; specimen_voucher: KFSHRC:S27	Homo sapiens		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; specimen_voucher: KFSHRC:S27:CMV56	Homo sapiens		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; specimen_voucher: KFSHRC:S28	Homo sapiens		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; specimen_voucher: KFSHRC:S29:CMV56	Homo sapiens		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; specimen_voucher: KFSHRC:S3	Homo sapiens		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; specimen_voucher: KFSHRC:S34	Homo sapiens		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; specimen_voucher: KFSHRC:S34:CMV56	Homo sapiens		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; specimen_voucher: KFSHRC:S35	Homo sapiens		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; specimen_voucher: KFSHRC:S35:CMV56	Homo sapiens		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; specimen_voucher: KFSHRC:S37	Homo sapiens		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; specimen_voucher: KFSHRC:S37:CMV56	Homo sapiens		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; specimen_voucher: KFSHRC:S42	Homo sapiens		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; specimen_voucher: KFSHRC:S42:CMV56	Homo sapiens		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; specimen_voucher: KFSHRC:S47	Homo sapiens		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; specimen_voucher: KFSHRC:S47:CMV56	Homo sapiens		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; specimen_voucher: KFSHRC:S51	Homo sapiens		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; specimen_voucher: KFSHRC:S51:CMV56	Homo sapiens		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; specimen_voucher: KFSHRC:S52	Homo sapiens		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; specimen_voucher: KFSHRC:S56	Homo sapiens		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; specimen_voucher: KFSHRC:S56:CMV56	Homo sapiens		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; specimen_voucher: KFSHRC:S57:CMV56	Homo sapiens		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; specimen_voucher: KFSHRC:S60	Homo sapiens		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; specimen_voucher: KFSHRC:S60:CMV56	Homo sapiens		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; specimen_voucher: KFSHRC:S64	Homo sapiens		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; specimen_voucher: KFSHRC:S64:CMV56	Homo sapiens		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; specimen_voucher: KFSHRC:S66	Homo sapiens		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; specimen_voucher: KFSHRC:S66:CMV56	Homo sapiens		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; specimen_voucher: KFSHRC:S67	Homo sapiens		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; specimen_voucher: KFSHRC:S67:CMV56	Homo sapiens		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; specimen_voucher: KFSHRC:S68	Homo sapiens		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; specimen_voucher: KFSHRC:S69	Homo sapiens		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; specimen_voucher: KFSHRC:S7	Homo sapiens		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; specimen_voucher: KFSHRC:S70	Homo sapiens		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; specimen_voucher: KFSHRC:S70:CMV56	Homo sapiens		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; specimen_voucher: KFSHRC:S74	Homo sapiens		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; specimen_voucher: KFSHRC:S74:CMV56	Homo sapiens		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; specimen_voucher: KFSHRC:S75	Homo sapiens		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; specimen_voucher: KFSHRC:S75:CMV56	Homo sapiens		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; specimen_voucher: KFSHRC:S76:CMV56	Homo sapiens		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; specimen_voucher: KFSHRC:S77	Homo sapiens		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; specimen_voucher: KFSHRC:S79	Homo sapiens		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; specimen_voucher: KFSHRC:S79:CMV56	Homo sapiens		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; specimen_voucher: KFSHRC:S80	Homo sapiens		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; specimen_voucher: KFSHRC:S80:CMV56	Homo sapiens		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; specimen_voucher: KFSHRC:S82	Homo sapiens		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; specimen_voucher: KFSHRC:S82:CMV56	Homo sapiens		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; specimen_voucher: KFSHRC:S86:CMV56	Homo sapiens		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Hydropotes inermis	Hydropotes inermis		1	UNCHANGED	NO
Hylobates nomascus leucogenys	Hylobates nomascus leucogenys		1	UNCHANGED	NO
Hylobates syndactylus	Hylobates syndactylus		1	UNCHANGED	NO
Indian hog deer	Indian hog deer		1	UNCHANGED	NO
Isoodon macrourus	Isoodon macrourus		1	UNCHANGED	NO
Jimela topi	Jimela topi		1	UNCHANGED	NO
Jimela topi, Slender-horned gazelle	Jimela topi, Slender-horned gazelle		1	UNCHANGED	NO
Kangrez cattle	Kangrez cattle		1	UNCHANGED	NO
Khaki Campbell duck	Khaki Campbell duck		1	UNCHANGED	NO
Kobus megaceros	Kobus megaceros		1	UNCHANGED	NO
Kogia breviceps (pygmy sperm whale)	Kogia breviceps (pygmy sperm whale)		1	UNCHANGED	NO
Kogia simus (dwarf sperm whale) K265	Kogia simus (dwarf sperm whale) K265		1	UNCHANGED	NO
Lagothrix lagotricha lugens	Lagothrix lagotricha lugens		1	UNCHANGED	NO
Larus argentatus	Larus argentatus		1	UNCHANGED	NO
Lemniscomys striatus	Lemniscomys striatus		1	UNCHANGED	NO
Leontocebus sp.; female	Leontocebus sp.		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Leontopithecus rosalia	Leontopithecus rosalia		1	UNCHANGED	NO
Leopardus guttulus (southern tiger cat)	Leopardus guttulus (southern tiger cat)		1	UNCHANGED	NO
Leopardus pardalis	Leopardus pardalis		1	UNCHANGED	NO
Lepus granatensis; sex: female	Lepus granatensis		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Little corella	Little corella		1	UNCHANGED	NO
Lonchophylla thomasi	Lonchophylla thomasi		1	UNCHANGED	NO
Lontra canadensis	Lontra canadensis		1	UNCHANGED	NO
Lophocebus albigena	Lophocebus albigena		1	UNCHANGED	NO
Lophocebus aterrimus	Lophocebus aterrimus		1	UNCHANGED	NO
Loxondonta africana	Loxondonta africana		1	UNCHANGED	NO
Lutra lutra (Eurasian otter)	Lutra lutra (Eurasian otter)		1	UNCHANGED	NO
Lynx canadensis	Lynx canadensis		1	UNCHANGED	NO
Lynx canadensis subsolanus	Lynx canadensis subsolanus		1	UNCHANGED	NO
Macaca radiata	Macaca radiata		1	UNCHANGED	NO
Macaca thibetana	Macaca thibetana		1	UNCHANGED	NO
Macronectes giganteus (Southern Giant-Petrel)	Macronectes giganteus (Southern Giant-Petrel)		1	UNCHANGED	NO
Madoqua kirkii	Madoqua kirkii		1	UNCHANGED	NO
Malayan sambar	Malayan sambar		1	UNCHANGED	NO
Mandrillus leucophaues	Mandrillus leucophaues		1	UNCHANGED	NO
Marmoset	Marmoset		1	UNCHANGED	NO
Marmota marmota	Marmota marmota		1	UNCHANGED	NO
Martes pennanti (Fisher)	Martes pennanti (Fisher)		1	UNCHANGED	NO
Martes zibellina (sable)	Martes zibellina (sable)		1	UNCHANGED	NO
Megaptera novaeangliae (Humpback whale)	Megaptera novaeangliae (Humpback whale)		1	UNCHANGED	NO
Meles leucurus (Asian badger)	Meles leucurus (Asian badger)		1	UNCHANGED	NO
Mesoplodon bidens	Mesoplodon bidens		1	UNCHANGED	NO
Mesoplodon europaeus	Mesoplodon europaeus		1	UNCHANGED	NO
Mesoplodon europaeus (Gervais's beaked whale)	Mesoplodon europaeus (Gervais's beaked whale)		1	UNCHANGED	NO
Mesoplodon stejnegeri cervical lymph node	Mesoplodon stejnegeri cervical lymph node		1	UNCHANGED	NO
Mico melanurus	Mico melanurus		1	UNCHANGED	NO
Microtus agrestis	Microtus agrestis		1	UNCHANGED	NO
Microtus arvalis	Microtus arvalis		1	UNCHANGED	NO
Miniopterus fuliginosus	Miniopterus fuliginosus		1	UNCHANGED	NO
Mink	Mink		1	UNCHANGED	NO
Miopithecus talapoin	Miopithecus talapoin		1	UNCHANGED	NO
Mirounga angustirostris	Mirounga angustirostris		1	UNCHANGED	NO
Molossops temminckii	Molossops temminckii		1	UNCHANGED	NO
Molossus rufus (bat)	Molossus rufus (bat)		1	UNCHANGED	NO
Mucaca mulatta	Mucaca mulatta		1	UNCHANGED	NO
Mus cervicolor	Mus cervicolor		1	UNCHANGED	NO
Mus cervicolor voucher 4455	Mus cervicolor voucher 4455		1	UNCHANGED	NO
Mus minutoides	Mus minutoides		1	UNCHANGED	NO
Mus musculus voucher 2972	Mus musculus voucher 2972		1	UNCHANGED	NO
Mus musculus; voucher 12972	Mus musculus		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Mus musculus; voucher 2972b	Mus musculus		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
